filename,photo_datetime,match_hour,Time,R_R_M,G_R_M,B_R_M,R_L_M,G_L_M,B_L_M,PM2.5,PM10,SO2,NO2,O3,CO,T2m,BLH,U10,V10,TP,SP,T_500,RH_500,U_500,V_500,GP_500,T_700,RH_700,U_700,V_700,GP_700,T_850,RH_850,U_850,V_850,GP_850,label
20191218220229400.jpg,02:29.4,12/18/2019 22:00,12/18/2019 22:00,14.54301396,9.534158589,6.538551312,11.30965712,10.30797526,6.519748264,31,38.0,4,51,14.0,0.8,-4.762866741,23.49489862,-0.366131701,-0.529517045,8.67e-19,102711.1958,-29.90636509,26.28583323,21.28771689,-0.465491371,53506.02986,-18.41205649,79.55686478,12.67409433,-3.570387931,29342.0232,-7.438473591,61.56195681,7.270875478,-3.407439058,14873.03404,night
20190710211317503.jpg,13:17.5,7/10/2019 21:00,7/10/2019 21:00,24.74701666,19.26492151,12.82611461,3.43638057,4.875156732,1.947767168,34,66.0,3,19,134.0,0.6,24.121667,19.75231196,0.41520211,0.327839027,0.0,100429.0166,-10.3690221,81.2848874,0.204085732,-2.363302174,56299.16407,4.478638951,60.81312351,-5.252970434,0.550135612,30154.49913,14.08306008,83.10259212,-4.573978262,1.150054028,14356.51946,night
20190908044745137.jpg,47:45.1,9/8/2019 4:00,9/8/2019 4:00,6.875912664,4.685202667,2.716336926,3.311806761,5.447966098,2.832521943,49,116.0,1,98,20.0,0.8,21.82509425,23.87992248,-0.532106221,-0.739852597,0.0,100002.8279,-8.958879945,46.89560922,5.691243226,-0.742877156,56709.52163,9.46777051,43.71761334,4.472079316,-0.713297384,30374.41246,22.87185817,27.47967815,2.014380471,-2.273308841,14182.43882,night
20190627233608249.jpg,36:08.2,6/27/2019 23:00,6/27/2019 23:00,15.32671441,11.65492802,6.784948278,2.764485074,4.334986859,1.569874253,27,78.0,5,34,108.0,0.6,29.95364514,49.91814349,0.839200718,0.692531223,0.0,99422.66964,-6.134618862,99.92504487,8.306263123,10.1606123,56298.871,7.182718698,89.94679968,3.973336726,5.538226215,29829.06266,20.21440409,58.39732732,4.809728164,5.666683849,13777.52136,night
20200112044524342.jpg,45:24.3,1/12/2020 4:00,1/12/2020 4:00,5.009447941,4.090672622,2.537840591,7.472151693,7.842300829,5.854276982,23,41.0,9,67,7.0,0.7,-6.851691249,13.82359853,0.055640112,-0.83010463,0.0,102272.6428,-35.16546353,101.7439283,12.49100158,-3.055114398,52661.79587,-18.33199929,98.19724546,8.029738534,-3.810242404,28821.87739,-10.66569456,65.4077182,5.131718524,-4.601247533,14393.84306,night
20200113191837548.jpg,18:37.5,1/13/2020 19:00,1/13/2020 19:00,6.06139564,5.106709346,5.016899957,12.15892892,11.23139407,7.365210262,13,27.0,4,26,,0.4,-3.33896645,34.38866667,1.953498232,-1.597249545,0.0,102477.8206,-31.25271762,73.55789931,-7.568644272,-9.235833554,52832.15217,-18.79402685,20.46742346,1.17687405,-9.318413625,28872.70374,-12.84017066,45.87074926,0.957200488,-7.86138442,14540.95112,night
20191216023613925.jpg,36:13.9,12/16/2019 2:00,12/16/2019 2:00,35.32690972,27.53561379,21.29919825,11.79521424,11.41581006,10.50374349,64,65.0,3,77,,1.2,-0.274830407,33.51860093,-0.799158376,-0.37758262,0.000169633,102217.4967,-18.85949317,82.05402,15.54422869,8.354389915,54969.78802,-4.73687465,96.67472106,9.641220449,10.10309075,29668.43289,-2.285130725,94.57257842,6.705921769,10.36071728,14590.77886,night
20190625222344338.jpg,23:44.3,6/25/2019 22:00,6/25/2019 22:00,14.05015492,9.397803337,5.692708333,2.759928385,4.378223862,1.530017241,46,108.0,4,26,203.0,0.9,31.95397874,507.7392235,-2.474618903,2.62583159,0.0,100351.8268,-9.793105904,79.51781783,4.056842275,4.218651847,56921.39417,7.93913541,51.91292424,7.259538119,3.265907675,30540.39708,19.34615017,61.90916842,3.826276016,8.595531546,14516.57836,night
20191005234805130.jpg,48:05.1,10/5/2019 23:00,10/5/2019 23:00,4.408997637,3.899224778,1.752584877,3.850424383,5.256940225,2.611020689,15,33.0,3,63,15.0,0.3,9.13094626,24.63916397,0.7372458,0.792084556,8.67e-19,102324.156,-14.92767434,82.10384318,19.23632995,-4.291369627,56532.17901,1.521001156,8.040853142,7.088043501,-0.148622517,30733.87713,4.854605329,40.07476028,-2.43426825,0.475452579,15346.69023,night
20200115064913365.jpg,49:13.4,1/15/2020 6:00,1/15/2020 6:00,9.151236979,10.95323954,14.19707755,9.908979552,10.16155659,7.855280068,25,42.0,4,57,8.0,0.8,-12.70704953,13.65577605,0.482893836,-0.905005525,0.0,102821.808,-27.35121174,16.30614743,21.74479345,-17.07742817,53887.10101,-14.5294837,29.90443668,5.85412538,-8.316678647,29350.58442,-8.43135901,29.80942477,3.779214135,-4.18169922,14758.60307,night
20190807200446112.jpg,04:46.1,8/7/2019 20:00,8/7/2019 20:00,38.62328137,36.2424666,29.88524486,5.263302951,7.062641059,4.716783613,21,54.0,3,21,171.0,0.8,26.42189397,53.21105577,-1.23837869,-0.37515502,0.001679612,100127.5248,-6.797949801,34.24879083,6.92459608,-2.633335628,56823.32669,8.52467913,62.35929306,3.254832124,-3.159243955,30358.07917,18.98871056,75.19449003,2.500006336,1.707305682,14264.23482,night
20190714233807351.jpg,38:07.4,7/14/2019 23:00,7/14/2019 23:00,11.31026054,7.716595534,5.260519145,2.500722174,4.226690297,1.24656455,28,24.0,3,28,166.0,0.8,25.33323079,40.79886625,-1.52560932,0.798233105,0.0,100072.412,-7.426806223,22.79106236,1.679369023,-10.01044124,56622.60479,8.021704662,61.34620971,-4.357958188,-8.713502452,30283.10001,18.94582805,62.96293985,3.330181032,1.673587628,14216.65849,night
20200118024747592.jpg,47:47.6,1/18/2020 2:00,1/18/2020 2:00,7.579895472,4.501375627,2.531696084,7.043087505,7.497325304,5.565977045,125,129.0,11,94,2.0,2.3,-6.829352355,11.93807113,0.276393475,-0.454089253,1.73e-18,102380.9025,-27.33277991,13.38773572,16.7081909,-13.11409791,53851.88913,-13.1261603,45.02792574,10.27401573,-6.718790052,29340.76859,-6.943910647,54.99875188,7.564479718,-6.250563997,14684.74615,night
