filename,photo_datetime,match_hour,Time,R_R_M,G_R_M,B_R_M,R_L_M,G_L_M,B_L_M,PM2.5,PM10,SO2,NO2,O3,CO,T2m,BLH,U10,V10,TP,SP,T_500,RH_500,U_500,V_500,GP_500,T_700,RH_700,U_700,V_700,GP_700,T_850,RH_850,U_850,V_850,GP_850,label
20190809053339785.jpg,33:39.8,8/9/2019 5:00,8/9/2019 5:00,166.8832984,188.9967442,193.5860514,23.39096981,30.2076407,31.14655249,61,65.0,1,22,64.0,0.8,25.32115148,120.9204931,-1.885536547,-0.026876741,2.67e-05,100193.6605,-4.280209426,36.98994155,6.342889206,4.823445413,57158.60129,10.2241931,71.63895987,5.835921786,4.521471557,30439.02853,18.78723338,81.61289019,3.646802923,6.424749009,14298.1157,day
20190623072932315.jpg,29:32.3,6/23/2019 7:00,6/23/2019 7:00,201.7443227,208.8189007,210.1072748,37.50597331,38.28904442,29.9693486,41,81.0,10,55,53.0,1.1,26.62914926,276.0486691,-1.937460363,-0.244844572,0.0,100647.38,-6.789505817,7.752462338,-1.780674763,-3.936038967,57160.78303,6.736047835,56.65443465,-2.893059801,-3.722363426,30698.6425,21.37927226,27.28008424,2.546461682,1.744169151,14630.89767,day
20190712141841766.jpg,18:41.8,7/12/2019 14:00,7/12/2019 14:00,188.8524257,204.3900029,203.6071,86.19209286,87.94294946,58.54390734,24,7.0,3,15,205.0,0.5,33.05034892,1035.799621,0.110168584,1.624165445,0.0,99840.55137,-8.878987245,16.11180784,-0.064273581,-7.471086662,56448.24754,7.368286487,53.06288793,-1.840568563,-6.323654196,30160.73216,20.80368841,37.32510087,1.621008457,-2.525447553,14102.82896,day
20191025065710532.jpg,57:10.5,10/25/2019 6:00,10/25/2019 6:00,197.8964741,217.4056767,209.895937,43.81170669,41.7516686,34.66237642,4,11.0,3,24,31.0,0.2,6.247779303,242.6809186,1.094279248,-2.063195602,-1.73e-18,102683.2892,-22.85954757,16.92877713,26.69990572,-3.787398882,54983.75781,-6.905958287,21.44796891,13.23958443,-3.581099436,30030.37954,-4.435850242,46.99026363,4.911822423,-11.98311326,15080.91159,day
20190831121525300.jpg,15:25.3,8/31/2019 12:00,8/31/2019 12:00,145.365848,190.6340338,203.926847,121.6278977,122.042217,80.09466929,6,24.0,3,13,88.0,0.3,29.15459241,1248.505302,-0.662714428,0.0255985,0.0,101076.4034,-12.89491833,7.945280523,5.546160592,-1.909486643,56623.89166,2.443189905,31.93080404,6.031194941,-2.476078473,30681.99811,15.99015093,27.97916607,3.282076898,-1.667608259,14932.72669,day
20190927074852461.jpg,48:52.5,9/27/2019 7:00,9/27/2019 7:00,202.2418939,205.2206899,203.9103733,40.87399209,42.75486714,39.88532323,78,67.0,2,57,11.0,0.9,17.0981842,72.4981647,-0.896606052,-0.978619131,0.0,101995.7117,-16.7797325,24.36556584,2.571535583,5.223256868,56808.2792,3.11787026,15.02528858,-0.820812984,4.491745758,31118.43159,13.12173988,43.25644389,3.485670144,3.160544068,15442.11714,day
20190916083201163.jpg,32:01.2,9/16/2019 8:00,9/16/2019 8:00,175.6064604,207.8137514,207.6473301,83.97913773,81.67265926,49.42273944,16,37.0,3,33,32.0,0.4,18.81947151,163.3901186,-0.745041038,-0.165374844,0.0,101594.7812,-14.62748646,5.509564654,16.88589574,-2.303601631,56392.61544,0.141390611,40.57115319,5.121886722,-5.495176678,30734.45207,12.71662954,45.63183968,-2.859404267,-0.265551316,15123.198,day
20190708175907644.jpg,59:07.6,7/8/2019 17:00,7/8/2019 17:00,194.4528628,194.4786368,188.8087451,29.57910397,28.40343063,24.43129039,22,37.0,3,24,180.0,0.5,29.78294543,1091.324884,0.768765118,0.907992919,1.73e-18,100436.5461,-6.233007065,13.78647444,1.392970495,2.699602336,56725.69545,5.8582117,59.48400276,-3.308957951,2.779071244,30357.37574,16.49882255,57.9183328,-0.433441603,2.86737003,14445.00809,day
20190827061657014.jpg,16:57.0,8/27/2019 6:00,8/27/2019 6:00,204.6228528,216.1041299,211.2391897,40.48605505,38.18103178,29.85133222,56,41.0,1,92,,0.8,20.62665022,41.47583516,0.982584663,-1.221479683,0.0,100541.1692,-10.10443885,3.152814407,15.10397721,-3.8203545,56511.40554,3.387595424,49.25070773,3.673415021,-6.295478918,30333.95083,17.70906214,37.02241751,5.244229857,-7.100502991,14499.06773,day
20190803163845614.jpg,38:45.6,8/3/2019 16:00,8/3/2019 16:00,195.5461522,198.4258638,196.9623481,25.26612052,27.74327076,23.71870901,39,48.0,3,20,208.0,0.6,30.58923625,1023.647268,-0.137891472,2.027546198,-3.47e-18,100537.1603,-6.072657072,44.30987039,3.773333015,1.96382412,57265.40789,9.337166348,55.02985591,-2.179699109,-0.258051974,30687.85783,18.23510653,65.10686212,-2.017102866,2.04689344,14616.86742,day
